photo_id,auto_place_id,google_place_id,accommodation_name,photo_reference,photo_url,width_px,height_px,attributions,photo_type,created_at
1,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpc9hJD_WC-Rx10l1-WOjuSQ5KoIQcxzpHpRbTzlw8fx89EVrrFmyowVZ7ESlsE9uG1B8VbYcvzKTjPF6JEpsCAhqY9zQxIqjiCvPIcPGN9pdQ3FWPpMGzBs1AIWLYpXxy1NWAyKmy0V0Wa4hGC1yX97Laa7leZxS_Yg5WXJlRHPHg9I_J2Dzh5UUFa6kcfOAYwMAQma-PaRpInHWzz8SnL4aOEqKKSUoehe3yrihrnq0IYkm49LRpSg50lOYtXRM4y7LWmpPZh1rNyLQXzbGFFvA9iAjKGkXxkByqc7ujOA6A,https://places.googleapis.com/v1/places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpc9hJD_WC-Rx10l1-WOjuSQ5KoIQcxzpHpRbTzlw8fx89EVrrFmyowVZ7ESlsE9uG1B8VbYcvzKTjPF6JEpsCAhqY9zQxIqjiCvPIcPGN9pdQ3FWPpMGzBs1AIWLYpXxy1NWAyKmy0V0Wa4hGC1yX97Laa7leZxS_Yg5WXJlRHPHg9I_J2Dzh5UUFa6kcfOAYwMAQma-PaRpInHWzz8SnL4aOEqKKSUoehe3yrihrnq0IYkm49LRpSg50lOYtXRM4y7LWmpPZh1rNyLQXzbGFFvA9iAjKGkXxkByqc7ujOA6A/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,4800,3200,Hotel Sahara Star,general,2025-09-03T10:59:18.889Z
2,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpdLsZNKZ_g5ojwgII4jKyRXwtnZyzkw0sNjmDOWAa9MVmaZoANtOyjG6slPE-iqUJlMWOHriua1o6bFoKycwVCe_yT3rTu5YPM0iDdaIcrE2Vy76wXRECSkjY73Y1KfBt3YM9AkkAPUaYyxkE4vPqIpf9ZXLLpoF0q6Jks2HWNh0w52DR0QxcGnstt0TALA_yzfTp8p-XAI_PRA5EvWP0BJ_lAt4l-X77rrcZLanMd5-10vrZ23pfP6yrbZnbCL946xJINzKyJXHLB61dgcF7ApxJyZ1h0Uqzi8DcD-fwHT20T4exPg2JXV1Ja0BtBBsg-l0WfwVT9iwPmfz5qMmKZgavdowDiWjnHZFmR1fdtHkuKD3MeHp96VBSuabxnlhfb7sTss1Bm0efKkAxl1AbpjqW-ikS3C3FFJM6fejEtpjYVE,https://places.googleapis.com/v1/places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpdLsZNKZ_g5ojwgII4jKyRXwtnZyzkw0sNjmDOWAa9MVmaZoANtOyjG6slPE-iqUJlMWOHriua1o6bFoKycwVCe_yT3rTu5YPM0iDdaIcrE2Vy76wXRECSkjY73Y1KfBt3YM9AkkAPUaYyxkE4vPqIpf9ZXLLpoF0q6Jks2HWNh0w52DR0QxcGnstt0TALA_yzfTp8p-XAI_PRA5EvWP0BJ_lAt4l-X77rrcZLanMd5-10vrZ23pfP6yrbZnbCL946xJINzKyJXHLB61dgcF7ApxJyZ1h0Uqzi8DcD-fwHT20T4exPg2JXV1Ja0BtBBsg-l0WfwVT9iwPmfz5qMmKZgavdowDiWjnHZFmR1fdtHkuKD3MeHp96VBSuabxnlhfb7sTss1Bm0efKkAxl1AbpjqW-ikS3C3FFJM6fejEtpjYVE/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,1600,1067,jignesh modi,general,2025-09-03T10:59:18.889Z
3,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpdalJp1osyHijh3cTSWrzfGIgWm-GpZLIup8ilTe-vfTfN76RPWuTzEV75H7UQIaw0K2wEGSKPvqbkIyduzcrnfl-boWTq6tJzGnVPagU67XmFgyoh3Sf4QyEhn985MARDfuQeG8F3M1G2H0uOcn-SNj6nWQ1FQ_MkFO01UWE6TH0Y0HlUdcc2_bG7FdI0q3XuV249A6g76fac9-3gkL80_DSs3M-zwr6Rca5O94XqH-0b1JOTkmVQDrapn2dRKad3zy65je1oSjteIZrk0r9DJccYvq1vXI0Uu2qzvOiP0MQ,https://places.googleapis.com/v1/places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpdalJp1osyHijh3cTSWrzfGIgWm-GpZLIup8ilTe-vfTfN76RPWuTzEV75H7UQIaw0K2wEGSKPvqbkIyduzcrnfl-boWTq6tJzGnVPagU67XmFgyoh3Sf4QyEhn985MARDfuQeG8F3M1G2H0uOcn-SNj6nWQ1FQ_MkFO01UWE6TH0Y0HlUdcc2_bG7FdI0q3XuV249A6g76fac9-3gkL80_DSs3M-zwr6Rca5O94XqH-0b1JOTkmVQDrapn2dRKad3zy65je1oSjteIZrk0r9DJccYvq1vXI0Uu2qzvOiP0MQ/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,4800,3200,Hotel Sahara Star,general,2025-09-03T10:59:18.889Z
4,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpepZTg-TYPMYP3586gnLy_qVbBraYN0nYMH9efoU049VYEveXkQen8rEzv4PwgoD3IOB2eODfl7DizviuKobsLPcUCaC5kyg9kF_LfySmrbK3u8-MYIp0sB-1dYRSYVK9DmaRNjmSKGnQfP8lx0kmPSjJJ6wZlbdlf-Oxp_QHP3wZArku6p55bvA5D2WmDksXrvepG-Fe3if1_mXKhBOuddiosrPLxRTszbbIBoDxkYWBAZLDyF3BMfKaXv4EwEOvS1qzlTFGRSsPRUOS01dtfDtMm2BqLEJK8N6TnAiBGRM2rTyn1I4VedPOHnzj4AP0b2kg5ZGRizytqQBYB5BS1URobvVLty_tWW31dslpWRgJKik4TJbXayzlpUCTqTPYvb-Y9v_F21gpmXk5MpfvoVNrc9aCXRDwSGfVb1G_xs1TcL,https://places.googleapis.com/v1/places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpepZTg-TYPMYP3586gnLy_qVbBraYN0nYMH9efoU049VYEveXkQen8rEzv4PwgoD3IOB2eODfl7DizviuKobsLPcUCaC5kyg9kF_LfySmrbK3u8-MYIp0sB-1dYRSYVK9DmaRNjmSKGnQfP8lx0kmPSjJJ6wZlbdlf-Oxp_QHP3wZArku6p55bvA5D2WmDksXrvepG-Fe3if1_mXKhBOuddiosrPLxRTszbbIBoDxkYWBAZLDyF3BMfKaXv4EwEOvS1qzlTFGRSsPRUOS01dtfDtMm2BqLEJK8N6TnAiBGRM2rTyn1I4VedPOHnzj4AP0b2kg5ZGRizytqQBYB5BS1URobvVLty_tWW31dslpWRgJKik4TJbXayzlpUCTqTPYvb-Y9v_F21gpmXk5MpfvoVNrc9aCXRDwSGfVb1G_xs1TcL/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,4032,3024,A K Nauriyal,general,2025-09-03T10:59:18.889Z
5,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpevJtWSJ7qamHzoxYVTGSCC0boQfGIho4iUtCf8_SQOP3zK5GATzLypsAbSaLxd3fi6jiXLMVYovI5q-ioUCd9Bhy_5m07xTkmChkiZHbvMw16wH7j4ZzNqytgcKjaL-nCmUX7m_PR-1t5ag-tEdU8AWRzsvowuW_330LMggY0jdbZYNvaQkiX25kApdNvr6GvKRQUdguqae4HTQVwC7hiSgUR4_xpIpjcZVuXGeXh9B6tDq4q5ZYce7qWK8LD3jan-Asmmr9QU5134qiT-3Yn6z0Q0xDbq7Lhw3eUL0I32MA,https://places.googleapis.com/v1/places/ChIJvUPcck3I5zsR5JpNAa9KUaQ/photos/ATKogpevJtWSJ7qamHzoxYVTGSCC0boQfGIho4iUtCf8_SQOP3zK5GATzLypsAbSaLxd3fi6jiXLMVYovI5q-ioUCd9Bhy_5m07xTkmChkiZHbvMw16wH7j4ZzNqytgcKjaL-nCmUX7m_PR-1t5ag-tEdU8AWRzsvowuW_330LMggY0jdbZYNvaQkiX25kApdNvr6GvKRQUdguqae4HTQVwC7hiSgUR4_xpIpjcZVuXGeXh9B6tDq4q5ZYce7qWK8LD3jan-Asmmr9QU5134qiT-3Yn6z0Q0xDbq7Lhw3eUL0I32MA/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,1024,768,Hotel Sahara Star,general,2025-09-03T10:59:18.889Z
6,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpc1zI0P8a4joXleZ9hJCq76u9EmVck0dliw9oqqbk_66M-_XETnfCcC8YMzlQdd10V3VyRl9oVEzQ900mE-LwWjDlQyLxbYl5Ri5z-INd2ezsWbhk1YBP9XZrTY2qy-OX0SYaBzinT-9pvP9R_bF3xAHK3QD2tIrcssIHBjHoUb-yHmJ0m13jJewB1avto4_hT6VpuFP8Siur_QzWs556YRW0Z0sMdEsdkfLpn-ynRbNHg_WUmkBV3lMvD4_fUZNTKwafWMGwjpBTEJbDu6uLxT9DFo4sLc53FYC_hm4EzhMA,https://places.googleapis.com/v1/places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpc1zI0P8a4joXleZ9hJCq76u9EmVck0dliw9oqqbk_66M-_XETnfCcC8YMzlQdd10V3VyRl9oVEzQ900mE-LwWjDlQyLxbYl5Ri5z-INd2ezsWbhk1YBP9XZrTY2qy-OX0SYaBzinT-9pvP9R_bF3xAHK3QD2tIrcssIHBjHoUb-yHmJ0m13jJewB1avto4_hT6VpuFP8Siur_QzWs556YRW0Z0sMdEsdkfLpn-ynRbNHg_WUmkBV3lMvD4_fUZNTKwafWMGwjpBTEJbDu6uLxT9DFo4sLc53FYC_hm4EzhMA/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,1080,1080,Carlton Hotel - Behind Taj Mahal Palace | Colaba,general,2025-09-03T10:59:18.889Z
7,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpdSLWZryjX-muOGxYHiPWQ6HVOFBC79oAkH9cl8uu21roTXzbPBI13-6dHNImlHchYNsRlvPIyJoxJ7Yxnkz2aoWiSHQZsmQv9awgQzziDOw-Wudoo27MtwwRJvA1oe_iqucdkRZII_GvMhl_memqWDbvXajPyTqynMfqq3yJ3oEbX9b6HDnMyAOdGIT4Mjlyl2h_1n20Op0dMty3dXzlgOBtFCQkK0rkBDDEchrndZM3CewhwIbSvOPSK5APdXTqMwqn-sN296YUMcL9YTA5CA84gGxYkmkTxDnFQx05e3bEcFEBoMI7jwRoTwesciqbro-4LJnK3hxwHk2qNKwSUNwcpKBVnZTIFY4UqJMd0SRsuFoIiPON3c_3rzLhHrkDaLI9LhQg7fSf5bHhj2Teg_DKw7tAOFwAnNiEKqPHRR13ZL,https://places.googleapis.com/v1/places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpdSLWZryjX-muOGxYHiPWQ6HVOFBC79oAkH9cl8uu21roTXzbPBI13-6dHNImlHchYNsRlvPIyJoxJ7Yxnkz2aoWiSHQZsmQv9awgQzziDOw-Wudoo27MtwwRJvA1oe_iqucdkRZII_GvMhl_memqWDbvXajPyTqynMfqq3yJ3oEbX9b6HDnMyAOdGIT4Mjlyl2h_1n20Op0dMty3dXzlgOBtFCQkK0rkBDDEchrndZM3CewhwIbSvOPSK5APdXTqMwqn-sN296YUMcL9YTA5CA84gGxYkmkTxDnFQx05e3bEcFEBoMI7jwRoTwesciqbro-4LJnK3hxwHk2qNKwSUNwcpKBVnZTIFY4UqJMd0SRsuFoIiPON3c_3rzLhHrkDaLI9LhQg7fSf5bHhj2Teg_DKw7tAOFwAnNiEKqPHRR13ZL/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,4640,2610,Amitava Majumder,general,2025-09-03T10:59:18.889Z
8,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpc8pS_oHt_En1l2DYSTAC4jUKwskkLW9Dmq_QPzU3TLOOr1LV7gY_EFmcPG35VsOJdjKkMOHM66byuRyaDE7dJ-jgMdjmluDdEdGmGVFMcTXBx0w2RTacU6_hABfgDfVTZP1yFZIC5NK67B7BOVp9w7lRg2L50pVjjGTJkkeaCY-n2oMKb-bnHxDJ-V8HD3HVQhJQhZWC25vC8zms_9rNxECSiZjwQenZ1TeBAfeRhXXkTNAc09EvPqHZSqelOGbNjQSe_rSeUtaxRdh6_-zljQzv8voaU46R6Ra95s3sahXw,https://places.googleapis.com/v1/places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpc8pS_oHt_En1l2DYSTAC4jUKwskkLW9Dmq_QPzU3TLOOr1LV7gY_EFmcPG35VsOJdjKkMOHM66byuRyaDE7dJ-jgMdjmluDdEdGmGVFMcTXBx0w2RTacU6_hABfgDfVTZP1yFZIC5NK67B7BOVp9w7lRg2L50pVjjGTJkkeaCY-n2oMKb-bnHxDJ-V8HD3HVQhJQhZWC25vC8zms_9rNxECSiZjwQenZ1TeBAfeRhXXkTNAc09EvPqHZSqelOGbNjQSe_rSeUtaxRdh6_-zljQzv8voaU46R6Ra95s3sahXw/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,1024,768,Carlton Hotel - Behind Taj Mahal Palace | Colaba,general,2025-09-03T10:59:18.889Z
9,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpc5SNIE1ulKTjns3khWPKRw8i9VpCHv8D0Kg2ShWLe5AJR-kNWSyVSX7GgGRgTHgGcFTxIeRPrOJ-GUk18SqoM2QSeKsgqAKrDqL4rEXdXxreaav4A6Mdqlcb22yKEmVHOv3VRLfmPfNYv29ElNxLmMF79et4xYrSQTxK0XBmVSjwIJpo6uY0aSTPYKmOVtTBXbV8KJ1e_DJiB9p7uL7Rp6cMUKrRThiMokzw5zmLsM6fTxjmpZ6q03JRtIvr5Sss97EOImLnxv_bNiVBFtf-FuiJBf6e7aCvt4mKJECxXskw,https://places.googleapis.com/v1/places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpc5SNIE1ulKTjns3khWPKRw8i9VpCHv8D0Kg2ShWLe5AJR-kNWSyVSX7GgGRgTHgGcFTxIeRPrOJ-GUk18SqoM2QSeKsgqAKrDqL4rEXdXxreaav4A6Mdqlcb22yKEmVHOv3VRLfmPfNYv29ElNxLmMF79et4xYrSQTxK0XBmVSjwIJpo6uY0aSTPYKmOVtTBXbV8KJ1e_DJiB9p7uL7Rp6cMUKrRThiMokzw5zmLsM6fTxjmpZ6q03JRtIvr5Sss97EOImLnxv_bNiVBFtf-FuiJBf6e7aCvt4mKJECxXskw/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,2769,4169,Carlton Hotel - Behind Taj Mahal Palace | Colaba,general,2025-09-03T10:59:18.889Z
10,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpfgUmGMl9L9QifgBeuWY8HSRohvRSTi-rUo7Ryvjand7cj3YfavxdVQA9pBIzhMt5JqDZ-ssg88K4-95CLxg2rlM1EbB8BnPZFJIePFOZKz9TBbahODNzCIjN_xiWjNZRrEofR4ornmcTDmdNW3yKOWQXtF5mj7ESWDpM7zoNiGPSviPPEFM5RsA56j3RBilfJttlg9v9tNVQ0IGR4qnvy2ZaHPfaiud8Io9A5gHLK3YdZTfpKqyli3r_v3ykGAdhu6LDI_sapdBcNGopp1D5gDKJBbt0zcZp_3bb65-Lq-hw,https://places.googleapis.com/v1/places/ChIJf28N3MDR5zsRGZEDWsj_u7Y/photos/ATKogpfgUmGMl9L9QifgBeuWY8HSRohvRSTi-rUo7Ryvjand7cj3YfavxdVQA9pBIzhMt5JqDZ-ssg88K4-95CLxg2rlM1EbB8BnPZFJIePFOZKz9TBbahODNzCIjN_xiWjNZRrEofR4ornmcTDmdNW3yKOWQXtF5mj7ESWDpM7zoNiGPSviPPEFM5RsA56j3RBilfJttlg9v9tNVQ0IGR4qnvy2ZaHPfaiud8Io9A5gHLK3YdZTfpKqyli3r_v3ykGAdhu6LDI_sapdBcNGopp1D5gDKJBbt0zcZp_3bb65-Lq-hw/media?key=AIzaSyDyqwGKuJMYC1pHldpSjtJwDnOTXbp7ZNk&maxWidthPx=800&maxHeightPx=600,1080,1080,Carlton Hotel - Behind Taj Mahal Palace | Colaba,general,2025-09-03T10:59:18.889Z
