review_id,auto_place_id,google_place_id,accommodation_name,author_name,author_photo_url,rating,review_text,original_language,translated_text,publish_time,relative_time,created_at
1,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,HARSHA VARDHAN (VADHI_7),,5,"Hotel Sahara Star is a perfect blend of luxury, comfort, and world-class service. The stunning architecture, spacious and spotless rooms, and thoughtful amenities made my stay unforgettable.  The dining experience was exceptional – from the lavish breakfast to the diverse restaurant options, every meal was a delight. The staff were warm, attentive, and always willing to go the extra mile.  Truly a place where every detail is taken care of. Highly recommended for both business and leisure! 🌟",en,,2025-08-26T06:22:12.159844562Z,,2025-09-03T10:59:18.890Z
2,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,Ketan Chothe,,5,"I had an amazing experience at Hotel Sahara Star, located right opposite Mumbai Domestic Airport. From the moment you step into the hotel, you’re greeted with warm hospitality and a stunning ambience. The iconic dome structure and the beautiful indoor lagoon with live fish create a truly unique and relaxing atmosphere.  The rooms are spacious, clean, and well-equipped with modern amenities. The bed was super comfortable, and the view of the airport runway added an exciting touch to the stay. The soundproofing is excellent – you feel close to the airport without the noise.  The dining options are exceptional – from global cuisines to authentic Indian flavors. Especially loved the experience at Mabruk and Ocean – The Private Dining Room with its aquarium setting. The breakfast buffet is lavish with plenty of variety for all tastes.  The staff deserves a special mention – they are extremely courteous, attentive, and go the extra mile to make your stay memorable.  Whether you’re visiting for business, leisure, or a special occasion, Sahara Star offers everything you’d expect from a five-star experience. Highly recommended for a luxurious and comfortable stay in Mumbai!",en,,2025-07-08T17:48:45.693983063Z,,2025-09-03T10:59:18.890Z
3,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,Dinesh Ragavendra,,5,"I stayed at Hotel Sahara Star for a holiday trip, and the experience was truly amazing! The ambiance of the hotel was luxurious and relaxing. The rooms were spacious, clean, and beautifully designed, making my stay super comfortable. The staff were friendly and very helpful throughout my visit. What I loved most was the stunning view and the unique interior of the hotel. The location is perfect—very close to the airport and easy to reach other parts of the city. Definitely a 5-star experience, and I would love to come back again!",en,,2025-07-11T04:15:29.333867921Z,,2025-09-03T10:59:18.890Z
4,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,Laxmi Nag,,5,"I had an excellent stay at Hotel Sahara. The rooms were immaculate, well-maintained, and extremely comfortable. The staff was courteous, attentive, and always ready to assist with a smile. The breakfast offered a great variety of delicious options, and the location was ideal for exploring the city with ease. Overall, a wonderful experience — I would definitely stay here again and highly recommend it to others.",en,,2025-08-22T11:05:57.090653328Z,,2025-09-03T10:59:18.890Z
5,1,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,Santa Clauss,,5,"🌟 Excellent Stay at Hotel Sahara Star!  I had a really pleasant experience staying at Hotel Sahara Star during my recent trip. From the moment I arrived, the staff was welcoming and efficient—check-in was smooth and quick. The room was spacious, spotlessly clean, and well-maintained with all the basic amenities you’d expect. The bed was comfortable, and I appreciated the quiet atmosphere after a long day of travel.  The location is unbeatable—right across from the bus stand, which made getting around super convenient. I also liked that they had an in-house restaurant with decent food. Breakfast was simple but tasty, and the service was prompt. Special thanks to the front desk staff, especially Santhosh, who was polite and always ready to help with any queries.  What stood out most was the value for money. For the price, you get excellent service, comfort, and convenience. I’d definitely recommend Hotel Sahara Star to anyone looking for a reliable.  Would happily stay again!",en,,2025-07-15T01:55:10.536532563Z,,2025-09-03T10:59:18.890Z
6,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,Bhoopendra Singh,,5,"---  ⭐⭐⭐⭐⭐ Exceptional Experience at Hotel Carlton! I had an amazing stay at Hotel Carlton. The rooms were clean, spacious, and beautifully maintained. The interior decor was elegant, and the ambiance was peaceful and relaxing.  The staff was extremely professional, courteous, and always ready to help with a smile. Room service was quick and efficient, and the housekeeping did a fantastic job every day.  The hotel's location is also perfect — centrally located with easy access to nearby attractions. The food, especially the breakfast buffet, was delicious and had a wide variety of options.  Overall, it was a truly comfortable and luxurious experience. I highly recommend Hotel Carlton to anyone visiting the city. I will definitely be staying here again on my next trip!",en,,2025-07-17T19:18:43.677010367Z,,2025-09-03T10:59:18.890Z
7,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,Ramesh,,2,It's a high cost hostel near Gate way of India.  Negative: 1. Rooms are very small. 2. Very few room with attached bathroom and rest are common bathroom/restroom.( You pay such a big amount for the hotel and you only get common toilet? Seriously) 3.No lift and the hotel is in the first floor. 4.Bedsheet could have been better. 5.Not at all suitable for family stay.  Positive: 1.Gateway of India is 15 metres away. 2.There is bus stop close in 10 metres and use that to reach most of the sight seeing and to CSMT. 3. From Airport also it's easily reachable by train.,en,,2025-05-02T15:43:10.976552Z,,2025-09-03T10:59:18.890Z
8,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,Neeraj Potter,,2,"While the location is excellent, I must express my disappointment with the service. The cleanliness is lacking, the bed sheets are not clean, some rooms lack privacy, and the TV is not operational.",en,,2025-06-19T14:15:26.213561413Z,,2025-09-03T10:59:18.890Z
9,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,Graeme Elliott,,1,"Worst hotel we have stayed more than 50 years of global travel and certainly the worst we experienced in India. Extremely dirty everywhere, huge rats esp in and around the coffee machine, no food available, no service staff, looks and feels as if bathroom and beds are never cleaned. Am amazed at the 5 star reviews which must have been written by bots and clearly inaccurate.",en,,2025-08-26T09:12:32.386348845Z,,2025-09-03T10:59:18.890Z
10,2,ChIJf28N3MDR5zsRGZEDWsj_u7Y,Carlton Hotel - Behind Taj Mahal Palace | Colaba,Jacob Jordan,,4,"This hotel is fine, the reviews are a bit inflated. AC is strong, people were nice. It's a budget room but kinda promoted as being a more luxurious hotel. The restrooms weren't private and not super clean, which is likely my fault for not noticing, but it wasn't obvious, either.",en,,2024-12-13T18:24:18.624586Z,,2025-09-03T10:59:18.890Z
